macdfast,macdslow,macdsignal,Profit,Drawdown
6,36,15,1951.38,-68.65
8,18,18,1951.38,-68.65
12,40,7,1951.38,-68.65
12,38,7,1951.38,-68.65
8,22,15,1951.38,-68.65
10,22,12,1951.38,-68.65
14,24,8,1951.38,-68.65
8,16,20,1951.38,-68.65
6,34,15,1951.38,-68.65
10,24,11,1951.38,-68.65
