Time,Open,High,Low,Close
2020-12-17 23:00:00,22963.05000000,23000.00000000,22582.98000000,22599.16000000
2020-12-17 23:30:00,22599.16000000,22864.77000000,22570.59000000,22797.16000000
2020-12-18 00:00:00,22797.15000000,22839.00000000,22550.00000000,22597.91000000
2020-12-18 00:30:00,22597.90000000,22842.76000000,22470.35000000,22764.77000000
2020-12-18 01:00:00,22764.77000000,23096.34000000,22634.11000000,23059.34000000
2020-12-18 01:30:00,23059.34000000,23146.95000000,22947.91000000,22988.21000000
2020-12-18 02:00:00,22988.21000000,23204.00000000,22937.90000000,23193.60000000
2020-12-18 02:30:00,23193.59000000,23248.99000000,22996.07000000,23003.31000000
2020-12-18 03:00:00,23003.31000000,23047.88000000,22880.31000000,22970.91000000
2020-12-18 03:30:00,22968.97000000,22968.97000000,22762.05000000,22811.59000000
2020-12-18 04:00:00,22811.58000000,22973.92000000,22802.82000000,22821.46000000
2020-12-18 04:30:00,22821.46000000,22959.50000000,22772.05000000,22870.93000000
2020-12-18 05:00:00,22870.92000000,23017.94000000,22835.02000000,22969.73000000
2020-12-18 05:30:00,22969.73000000,23028.13000000,22924.03000000,22955.51000000
2020-12-18 06:00:00,22955.51000000,23168.59000000,22874.69000000,23109.41000000
2020-12-18 06:30:00,23109.41000000,23115.97000000,22960.00000000,22994.49000000
2020-12-18 07:00:00,22992.06000000,23017.69000000,22838.19000000,22909.95000000
2020-12-18 07:30:00,22909.95000000,23069.44000000,22909.95000000,23055.98000000
2020-12-18 08:00:00,23055.98000000,23200.00000000,22938.87000000,23187.90000000
2020-12-18 08:30:00,23187.91000000,23285.18000000,23068.17000000,23114.84000000
2020-12-18 09:00:00,23114.84000000,23199.00000000,23017.97000000,23067.58000000
2020-12-18 09:30:00,23067.59000000,23215.00000000,23040.18000000,23212.82000000
2020-12-18 10:00:00,23212.82000000,23220.00000000,22933.07000000,23038.81000000
2020-12-18 10:30:00,23036.91000000,23080.00000000,22940.00000000,22964.67000000
2020-12-18 11:00:00,22964.12000000,22967.29000000,22691.61000000,22828.73000000
2020-12-18 11:30:00,22828.31000000,22924.76000000,22793.50000000,22886.17000000
2020-12-18 12:00:00,22886.18000000,23073.25000000,22727.00000000,22943.64000000
2020-12-18 12:30:00,22942.17000000,23000.00000000,22866.35000000,22939.42000000
2020-12-18 13:00:00,22939.41000000,22948.64000000,22827.47000000,22842.21000000
2020-12-18 13:30:00,22842.21000000,22914.44000000,22548.99000000,22571.78000000
2020-12-18 14:00:00,22571.79000000,22758.44000000,22500.00000000,22533.79000000
2020-12-18 14:30:00,22533.79000000,22679.14000000,22400.00000000,22610.65000000
2020-12-18 15:00:00,22610.65000000,22610.66000000,22350.00000000,22474.52000000
2020-12-18 15:30:00,22474.51000000,22636.27000000,22385.46000000,22549.00000000
2020-12-18 16:00:00,22549.00000000,22646.81000000,22463.59000000,22579.87000000
2020-12-18 16:30:00,22579.86000000,22752.77000000,22547.09000000,22719.28000000
2020-12-18 17:00:00,22719.29000000,22774.99000000,22670.22000000,22700.00000000
2020-12-18 17:30:00,22699.99000000,22818.00000000,22673.30000000,22749.32000000
2020-12-18 18:00:00,22749.32000000,22829.04000000,22718.28000000,22771.99000000
2020-12-18 18:30:00,22771.99000000,22796.71000000,22694.22000000,22781.44000000
2020-12-18 19:00:00,22781.44000000,22783.42000000,22626.81000000,22630.79000000
2020-12-18 19:30:00,22630.78000000,22766.49000000,22627.65000000,22762.28000000
