MA1,MA2,MA3,Profit,Drawdown
30,55,120,158.04,-18.74
25,55,120,157.89,-18.74
20,55,120,157.31,-18.74
15,55,120,157.31,-18.74
30,60,110,156.82,-11.76
25,60,110,156.66,-11.76
30,55,125,156.59,-14.25
35,60,110,156.2,-11.76
15,60,110,156.09,-11.76
20,60,110,156.09,-11.76
