macdfast,macdslow,macdsignal,Profit,Drawdown
26,36,9,90.39,-4.54
20,34,12,88.42,-4.49
24,28,12,88.42,-4.49
26,28,11,88.42,-4.49
12,34,20,88.42,-4.49
18,32,17,88.39,-4.54
26,34,10,88.18,-4.54
28,34,9,88.18,-4.54
30,32,9,88.18,-4.54
24,40,9,88.04,-5.65
